ES,LS,RX,A8,A6,3series,5series,7series,XJ,Sclass,ES-LS,ES-RX,ES-A8,ES-A6,ES-3series,ES-5series,ES-7series,ES-XJ,ES-Sclass,LS-RX,LS-A8,LS-A6,LS-3series,LS-5series,LS-7series,LS-XJ,LS-Sclass,RX-A8,RX-A6,RX-3series,RX-5series,RX-7series,RX-XJ,RX-Sclass,A8-A6,A8-3series,A8-5series,A8-7series,A8-XJ,A8-Sclass,A6-3series,A6-5series,A6-7series,A6-XJ,A8-Sclass,3series-5series,3series-7series,3series-XJ,3series-Sclass,5series-7series,5series-XJ,5series-Sclass,7series-XJ,7series-Sclass,XJ-Sclass
,-1,,,,,1,,,,1,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,4,4,4,3,4,4,4,3,3,2,3,3,3,0,-1,0,0,0,-1,0,0,0,0,0,0,5,5,0
1,,,,,,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,4,4,4,4,4,5,3,3,3,3,3,4,0,0,0,0,1,0,0,0,1,0,0,1,5,6,1
,-1,,,,,,,,1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,4,4,4,4,4,4,3,3,3,3,3,3,2,0,0,0,0,-1,0,0,0,-1,0,0,-1,5,4,-1
,,,1,,,,,,-1,0,0,-1,0,0,0,0,0,1,0,-1,0,0,0,0,0,1,3,4,4,4,4,4,5,3,3,3,3,3,4,0,0,0,0,1,0,0,0,1,0,0,1,5,6,1
,1,,,,,,,,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,4,4,4,4,4,5,3,3,3,3,3,4,0,0,0,0,1,0,0,0,1,0,0,1,5,6,1
,1,,,,,,,-1,,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,4,4,4,4,5,4,3,3,3,3,4,3,0,0,0,1,0,0,0,1,0,0,1,0,6,5,-1
,1,,,,,,,,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,4,4,4,4,4,5,3,3,3,3,3,4,0,0,0,0,1,0,0,0,1,0,0,1,5,6,1
,-1,,,,,1,,,,1,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,4,4,4,3,4,4,4,3,3,2,3,3,3,0,-1,0,0,0,-1,0,0,0,0,0,0,5,5,0
,1,,,,,,-1,,,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,4,4,4,5,4,4,3,3,3,4,3,3,0,0,1,0,0,0,1,0,0,1,0,0,5,5,0
,1,,,,,,,,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,4,4,4,4,4,5,3,3,3,3,3,4,0,0,0,0,1,0,0,0,1,0,0,1,5,6,1
,,,-1,1,,,,,,0,0,1,-1,0,0,0,0,0,0,1,-1,0,0,0,0,0,5,3,4,4,4,4,4,2,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
-1,,1,,,,,,,,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,4,4,4,4,4,4,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
,-1,,,,,,,,1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,4,4,4,4,4,4,3,3,3,3,3,3,2,0,0,0,0,-1,0,0,0,-1,0,0,-1,5,4,-1
,1,,-1,,,,,,,-1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,4,4,4,4,4,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
,-2,,,,,,,,2,2,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,-2,4,4,4,4,4,4,2,3,3,3,3,3,1,0,0,0,0,-2,0,0,0,-2,0,0,-2,5,3,-2
,,,,,,1,-1,,,0,0,0,0,0,-1,1,0,0,0,0,0,0,-1,1,0,0,4,4,4,3,5,4,4,3,3,2,4,3,3,0,-1,1,0,0,-1,1,0,0,1,0,0,5,5,0
,-1,,1,,,,,,,1,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,3,4,4,4,4,4,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
,,,,,,2,-2,,,0,0,0,0,0,-2,2,0,0,0,0,0,0,-2,2,0,0,4,4,4,2,6,4,4,3,3,1,5,3,3,0,-2,2,0,0,-2,2,0,0,2,0,0,5,5,0
,1,,,,,,,,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,4,4,4,4,4,5,3,3,3,3,3,4,0,0,0,0,1,0,0,0,1,0,0,1,5,6,1
,,,-1,,,,,,1,0,0,1,0,0,0,0,0,-1,0,1,0,0,0,0,0,-1,5,4,4,4,4,4,3,3,3,3,3,3,2,0,0,0,0,-1,0,0,0,-1,0,0,-1,5,4,-1
,1,,-1,,,,,,,-1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,4,4,4,4,4,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
,2,,-1,-1,,,,,,-2,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,5,5,4,4,4,4,4,4,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
,-1,,,,,1,,,,1,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,4,4,4,3,4,4,4,3,3,2,3,3,3,0,-1,0,0,0,-1,0,0,0,0,0,0,5,5,0
,1,-1,,,,,,,,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,4,4,4,4,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
,-4,,,,,,,,3,4,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,-3,4,4,4,4,4,4,1,3,3,3,3,3,0,0,0,0,0,-3,0,0,0,-3,0,0,-3,5,2,-3
1,,-2,,,,,,,,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,4,4,4,4,4,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
,2,,,,,,-3,,,-2,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,4,4,4,4,7,4,4,3,3,3,6,3,3,0,0,3,0,0,0,3,0,0,3,0,0,5,5,0
,,,,,,,-2,,1,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,2,0,-1,4,4,4,4,6,4,3,3,3,3,5,3,2,0,0,2,0,-1,0,2,0,-1,2,0,-1,5,4,-1
,1,,,,,,-2,,,-1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,4,4,4,4,6,4,4,3,3,3,5,3,3,0,0,2,0,0,0,2,0,0,2,0,0,5,5,0
,,,1,,,,,,-2,0,0,-1,0,0,0,0,0,2,0,-1,0,0,0,0,0,2,3,4,4,4,4,4,6,3,3,3,3,3,5,0,0,0,0,2,0,0,0,2,0,0,2,5,7,2
,,,,,,,3,,-4,0,0,0,0,0,0,-3,0,4,0,0,0,0,0,-3,0,4,4,4,4,4,1,4,8,3,3,3,0,3,7,0,0,-3,0,4,0,-3,0,4,-3,0,4,5,9,4
-2,,1,,,,,,,,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,4,4,4,4,4,4,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
-1,-1,,,,,,,,1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,4,4,4,4,4,4,3,3,3,3,3,3,2,0,0,0,0,-1,0,0,0,-1,0,0,-1,5,4,-1
,-1,,-1,,,,,-1,2,1,0,1,0,0,0,0,1,-2,0,1,0,0,0,0,1,-2,5,4,4,4,4,5,2,3,3,3,3,4,1,0,0,0,1,-2,0,0,1,-2,0,1,-2,6,3,-3
,2,,,,,,-3,,,-2,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,4,4,4,4,7,4,4,3,3,3,6,3,3,0,0,3,0,0,0,3,0,0,3,0,0,5,5,0
,,2,,-3,,,,,,0,-2,0,3,0,0,0,0,0,-2,0,3,0,0,0,0,0,4,7,4,4,4,4,4,6,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
,-3,,,,,,,,2,3,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,-2,4,4,4,4,4,4,2,3,3,3,3,3,1,0,0,0,0,-2,0,0,0,-2,0,0,-2,5,3,-2
,2,,,,,,,,-3,-2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,4,4,4,4,4,7,3,3,3,3,3,6,0,0,0,0,3,0,0,0,3,0,0,3,5,8,3
,1,,,,,-2,,,,-1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,4,4,4,6,4,4,4,3,3,5,3,3,3,0,2,0,0,0,2,0,0,0,0,0,0,5,5,0
,,-1,,,,,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,4,4,4,4,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
,,,-3,,,,,,2,0,0,3,0,0,0,0,0,-2,0,3,0,0,0,0,0,-2,7,4,4,4,4,4,2,3,3,3,3,3,1,0,0,0,0,-2,0,0,0,-2,0,0,-2,5,3,-2
,,,,,,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,4,4,4,4,4,5,3,3,3,3,3,4,0,0,0,0,1,0,0,0,1,0,0,1,5,6,1
,,,,,,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,4,4,4,4,4,5,3,3,3,3,3,4,0,0,0,0,1,0,0,0,1,0,0,1,5,6,1
,,,2,,,,,,-3,0,0,-2,0,0,0,0,0,3,0,-2,0,0,0,0,0,3,2,4,4,4,4,4,7,3,3,3,3,3,6,0,0,0,0,3,0,0,0,3,0,0,3,5,8,3
,-1,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
,2,,-1,-3,,,,,,-2,0,1,3,0,0,0,0,0,0,1,3,0,0,0,0,0,5,7,4,4,4,4,4,6,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
-1,2,-3,,,,,,,,-2,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,4,4,4,4,4,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
,,-1,,,,,,,-1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4,4,4,4,4,4,5,3,3,3,3,3,4,0,0,0,0,1,0,0,0,1,0,0,1,5,6,1
,,,-2,,,,,,,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,4,4,4,4,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
,,,2,,,,,,-4,0,0,-2,0,0,0,0,0,4,0,-2,0,0,0,0,0,4,2,4,4,4,4,4,8,3,3,3,3,3,7,0,0,0,0,4,0,0,0,4,0,0,4,5,9,4
,1,,,,,,,-3,,-1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,4,4,4,4,7,4,3,3,3,3,6,3,0,0,0,3,0,0,0,3,0,0,3,0,8,5,-3
,,,,,,,-1,,-1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,4,4,4,4,5,4,5,3,3,3,4,3,4,0,0,1,0,1,0,1,0,1,1,0,1,5,6,1
-1,-1,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
-2,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
,,,-1,,,,,,-1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,5,4,4,4,4,4,5,3,3,3,3,3,4,0,0,0,0,1,0,0,0,1,0,0,1,5,6,1
,,,,,,,,,-2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,4,4,4,4,4,4,6,3,3,3,3,3,5,0,0,0,0,2,0,0,0,2,0,0,2,5,7,2
,-1,,,,,,,,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,4,4,4,4,4,5,3,3,3,3,3,4,0,0,0,0,1,0,0,0,1,0,0,1,5,6,1
-1,-2,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
,3,,,,,,-4,,-2,-3,0,0,0,0,0,4,0,2,0,0,0,0,0,4,0,2,4,4,4,4,8,4,6,3,3,3,7,3,5,0,0,4,0,2,0,4,0,2,4,0,2,5,7,2
4,,3,-2,-2,-2,-2,-2,,,0,-3,2,2,2,2,2,0,0,-3,2,2,2,2,2,0,0,6,6,6,6,6,4,4,5,5,5,5,3,3,2,2,2,0,0,2,2,0,0,2,0,0,5,5,0
,-3,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
,1,,,,,,,,-4,-1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,4,4,4,4,4,8,3,3,3,3,3,7,0,0,0,0,4,0,0,0,4,0,0,4,5,9,4
1,,,,,,,,,-4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,4,4,4,4,4,8,3,3,3,3,3,7,0,0,0,0,4,0,0,0,4,0,0,4,5,9,4
,,,-1,,,,-2,,,0,0,1,0,0,0,2,0,0,0,1,0,0,0,2,0,0,5,4,4,4,6,4,4,3,3,3,5,3,3,0,0,2,0,0,0,2,0,0,2,0,0,5,5,0
,-1,,-2,,,,,,,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,4,4,4,4,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
,,,-3,,,,,,,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,4,4,4,4,4,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
,1,,,,,,,,-4,-1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,4,4,4,4,4,8,3,3,3,3,3,7,0,0,0,0,4,0,0,0,4,0,0,4,5,9,4
,,,,-1,,,,-2,,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,2,0,4,5,4,4,4,6,4,4,3,3,3,5,3,0,0,0,2,0,0,0,2,0,0,2,0,7,5,-2
,-2,,,,,,-1,,,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,4,4,4,5,4,4,3,3,3,4,3,3,0,0,1,0,0,0,1,0,0,1,0,0,5,5,0
,-5,,2,,,,,,,5,0,-2,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,2,4,4,4,4,4,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
,,,-1,-2,,,,,,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,5,6,4,4,4,4,4,5,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
,-1,,,,,,,,-2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,4,4,4,4,4,4,6,3,3,3,3,3,5,0,0,0,0,2,0,0,0,2,0,0,2,5,7,2
,-3,,-1,,,,,,,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,4,4,4,4,4,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
,,,-2,-2,,,,,,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,6,6,4,4,4,4,4,5,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
,,,,,,,,,-4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,4,4,4,4,4,8,3,3,3,3,3,7,0,0,0,0,4,0,0,0,4,0,0,4,5,9,4
,-5,,,,,,,,1,5,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,4,4,4,4,4,4,3,3,3,3,3,3,2,0,0,0,0,-1,0,0,0,-1,0,0,-1,5,4,-1
,-5,,,,1,,,,,5,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,4,4,3,4,4,4,4,3,2,3,3,3,3,-1,0,0,0,0,0,0,0,0,0,0,0,5,5,0
,-5,,,,,1,,,,5,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,4,4,4,3,4,4,4,3,3,2,3,3,3,0,-1,0,0,0,-1,0,0,0,0,0,0,5,5,0
,-5,,,,,,1,,,5,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,4,4,4,4,3,4,4,3,3,3,2,3,3,0,0,-1,0,0,0,-1,0,0,-1,0,0,5,5,0
-1,,,,,,,,,-3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,4,4,4,4,4,7,3,3,3,3,3,6,0,0,0,0,3,0,0,0,3,0,0,3,5,8,3
,,-1,-3,,,,,,,0,1,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,7,4,4,4,4,4,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
,-1,,,,,,,,-3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,4,4,4,4,4,7,3,3,3,3,3,6,0,0,0,0,3,0,0,0,3,0,0,3,5,8,3
,-2,,,,,,,,-2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,4,4,4,4,4,4,6,3,3,3,3,3,5,0,0,0,0,2,0,0,0,2,0,0,2,5,7,2
-2,,,,,,,-2,,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,4,4,4,4,6,4,4,3,3,3,5,3,3,0,0,2,0,0,0,2,0,0,2,0,0,5,5,0
,,,-2,,,,,-2,,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,6,4,4,4,4,6,4,3,3,3,3,5,3,0,0,0,2,0,0,0,2,0,0,2,0,7,5,-2
,-3,,,-2,,,,,,3,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,4,6,4,4,4,4,4,5,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
,-5,,,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
,-5,,,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
,,,,,,,-5,,-2,0,0,0,0,0,0,5,0,2,0,0,0,0,0,5,0,2,4,4,4,4,9,4,6,3,3,3,8,3,5,0,0,5,0,2,0,5,0,2,5,0,2,5,7,2
,-5,,-2,,,,,,,5,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,4,4,4,4,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
,-4,,-4,,,,,,,4,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,4,4,4,4,4,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ES-LS,ES-RX,ES-A8,ES-A6,ES-3series,ES-5series,ES-7series,ES-XJ,ES-Sclass,LS-RX,LS-A8,LS-A6,LS-3series,LS-5series,LS-7series,LS-XJ,LS-Sclass,RX-A8,RX-A6,RX-3series,RX-5series,RX-7series,RX-XJ,RX-Sclass,A8-A6,A8-3series,A8-5series,A8-7series,A8-XJ,A8-Sclass,A6-3series,A6-5series,A6-7series,A6-XJ,A8-Sclass,3series-5series,3series-7series,3series-XJ,3series-Sclass,5series-7series,5series-XJ,5series-Sclass,7series-XJ,7series-Sclass,XJ-Sclass
,,,,,,,,,,LS,RX,A8,A6,3series,5series,7series,XJ,Sclass,RX,A8,A6,3series,5series,7series,XJ,Sclass,RX,RX,RX,RX,RX,RX,RX,A8,A8,A8,A8,A8,A8,3series,5series,7series,XJ,Sclass,5series,7series,XJ,Sclass,7series,XJ,Sclass,7series,7series,Sclass
,,,,,,,,,Avg Sentiment,-0.81557377,-0.215163934,-0.422131148,-0.090163934,-0.069672131,-0.043032787,-0.213114754,-0.114754098,-0.461065574,-0.215163934,-0.422131148,-0.090163934,-0.069672131,-0.043032787,-0.213114754,-0.114754098,-0.461065574,3.577868852,3.909836066,3.930327869,3.956967213,3.786885246,3.885245902,3.538934426,2.909836066,2.930327869,2.956967213,2.786885246,2.885245902,2.538934426,-0.069672131,-0.043032787,-0.213114754,-0.114754098,-0.461065574,-0.043032787,-0.213114754,-0.114754098,-0.461065574,-0.213114754,-0.114754098,-0.461065574,4.885245902,4.538934426,-0.346311475
,,,,,,,,,,LS,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,RX,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,A8,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
